id,name,producer,country,region,zone,denomination,vintage,grape_varieties,color,color_detail,body,tannins,acidity,quality,balance,persistence,alcohol_level,sweetness,food_pairings,occasion,style_tags,price_avg,price_min,availability,purchase_url,description,aromas
78,Sancerre AOC,Domaine Vacheron,France,Loira,Sancerre,Sancerre,2023,sauvignon blanc,white,straw_yellow,medium,low,high,4.3,4.4,4.2,13.0,secco,pesce|crostacei|formaggi_caprini,dinner,minerale;fresco;elegante;agrumi,30.00,25.00,common,,"Sauvignon Blanc della Loira, minerale e tagliente.","agrumi, fiori, minerale, gelsomino"
79,Meursault AOC,Domaine Roulot,France,Bourgogne,Meursault,Meursault,2021,chardonnay,white,golden_yellow,medium,low,medium,4.7,4.7,4.6,13.0,secco,pesce|crostacei|pollame,important_dinner,elegante;complesso;burroso;minerale,95.00,80.00,rare,,"Grande Borgogna bianca, complessa e avvolgente con mineralità fine.","pesca, nocciola, minerale, tostato"
80,Barossa Valley Shiraz,Penfolds,Australia,South Australia,Barossa Valley,Barossa Valley,2020,shiraz,red,deep_purple,high,medium_plus,medium,4.3,4.2,4.3,14.5,secco,carne_rossa|bbq|formaggi_stagionati,dinner,potente;fruttato;speziato;caldo,45.00,38.00,common,,Shiraz australiano potente e generoso con frutto maturo e spezie.,"frutta_nera, spezie, vaniglia, cuoio"
81,Malbec Mendoza,Catena Zapata,Argentina,Mendoza,Mendoza,Mendoza,2021,malbec,red,deep_purple,high,medium,medium,4.1,4.0,4.0,14.0,secco,carne_rossa|bbq|empanadas,dinner,potente;fruttato;morbido,22.00,18.00,common,,Malbec argentino rotondo e fruttato con tannini vellutati.,"frutta_nera, spezie, vaniglia, cuoio"
82,Trento DOC Brut Riserva,Ferrari,Italy,Trentino-Alto Adige,Trento,Trento,2018,chardonnay,white,straw_yellow,medium,low,high,4.4,4.5,4.3,12.5,secco,pesce|crostacei|aperitivo,aperitif;important_dinner,elegante;complesso;persistente;metodo_classico,35.00,28.00,common,,Metodo classico trentino di grande finezza e complessità.,"agrumi, fiori, tostato, minerale"
83,Alta Langa DOCG Brut,Ettore Germano,Italy,Piemonte,Serralunga d'Alba,Alta Langa,2019,pinot nero;chardonnay,white,straw_yellow,medium,low,high,4.2,4.3,4.1,12.5,secco,pesce|aperitivo|crostacei,aperitif;dinner,elegante;fresco;metodo_classico,25.00,20.00,limited,,"Bollicina piemontese metodo classico, fresca e elegante.","agrumi, fiori, tostato, minerale"
84,Gewürztraminer Alto Adige DOC,Cantina Tramin,Italy,Trentino-Alto Adige,Alto Adige,Alto Adige,2023,gewurztraminer,white,golden_yellow,medium,low,medium,4.0,3.9,4.1,14.0,secco,formaggi_erborinati|cucina_asiatica|foie_gras,dinner,aromatico;speziato;esotico,18.00,14.00,common,,"Bianco aromatico intenso con note di rosa, litchi e spezie.","rosa, lychee, spezie, minerale"
85,Moscato d'Asti DOCG,Paolo Saracco,Italy,Piemonte,Asti,Moscato d'Asti,2023,moscato bianco,white,straw_yellow,low,low,medium,3.8,3.9,3.7,5.5,dolce,dolci|frutta|pasticceria,dessert;aperitif,dolce;aromatico;frizzante;leggero,12.00,9.00,common,,"Moscato dolce e frizzante, perfetto con dolci e frutta.","fiori, agrumi, pesca, miele"
86,Vitovska Orange,Zidarich,Italy,Friuli-Venezia Giulia,Carso,Venezia Giulia,2020,vitovska,orange,amber,medium,medium_low,high,4.1,4.0,4.2,13.0,secco,pesce|formaggi|cucina_asiatica,dinner;meditation,minerale;complesso;naturale;macerato,30.00,25.00,limited,,"Orange wine del Carso, macerazione lunga con grande complessità.","agrumi, fiori, minerale, balsamico"
87,Roero Arneis DOCG,Bruno Giacosa,Italy,Piemonte,Roero,Roero Arneis,2023,arneis,white,straw_yellow,medium,low,medium,4.0,4.1,3.8,13.0,secco,pesce|verdure|risotto,lunch;dinner,fresco;elegante;floreale,16.00,13.00,common,,Bianco piemontese elegante con note floreali e frutto bianco.,"agrumi, fiori, minerale, pesca"
88,Gavi DOCG,La Scolca,Italy,Piemonte,Gavi,Gavi,2023,cortese,white,straw_yellow,medium,low,high,3.9,4.0,3.7,12.5,secco,pesce|crostacei|antipasti,lunch;aperitif,fresco;minerale;sapido,15.00,12.00,common,,"Bianco piemontese fresco e minerale, ottimo con pesce.","agrumi, fiori, minerale, pesca"
89,Dolcetto d'Alba DOC,G.D. Vajra,Italy,Piemonte,Alba,Dolcetto d'Alba,2023,dolcetto,red,deep_purple,medium,medium_low,low,3.6,3.7,3.4,12.5,secco,salumi|pasta_ragu|pizza,everyday,fruttato;morbido;beverino,12.00,9.00,common,,"Rosso piemontese quotidiano, morbido e fruttato con tannino dolce.","frutta_nera, ciliegia, spezie, cuoio"
90,Soave Classico DOC Cru,Pieropan,Italy,Veneto,Soave,Soave Classico,2022,garganega,white,straw_yellow,medium,low,medium,4.2,4.3,4.1,12.5,secco,pesce|risotto|verdure,dinner,minerale;elegante;complesso,22.00,18.00,limited,,Soave di alta qualità con complessità e mineralità vulcanica.,"agrumi, fiori, minerale, frutta_bianca"
91,Ripasso Valpolicella DOC Superiore,Masi,Italy,Veneto,Valpolicella,Valpolicella Ripasso,2021,corvina;corvinone;rondinella,red,ruby_red,medium,medium,medium,3.9,3.8,3.8,13.5,secco,carne_rossa|pasta_ragu|formaggi,dinner,morbido;fruttato;speziato,18.00,14.00,common,,"Ripasso vellutato e ricco, ottimo compromesso tra Valpolicella e Amarone.","frutta_nera, ciliegia, spezie, cuoio"
92,Cerasuolo di Vittoria DOCG,COS,Italy,Sicilia,Vittoria,Cerasuolo di Vittoria,2022,nero d'avola;frappato,red,cherry_red,medium,medium_low,medium,4.0,4.1,3.9,13.0,secco,pesce|tonno|pasta_pomodoro,dinner;summer,elegante;fresco;mediterraneo,20.00,16.00,limited,,"Unica DOCG siciliana, blend elegante e mediterraneo.","ciliegia, frutta_rossa, spezie, minerale"
93,Nerello Mascalese Etna Rosso DOC,Passopisciaro,Italy,Sicilia,Etna,Etna Rosso,2021,nerello mascalese,red,ruby_red,medium,medium,high,4.4,4.3,4.4,13.5,secco,carne_rossa|funghi|formaggi,dinner;important_dinner,elegante;minerale;vulcanico;complesso,40.00,32.00,limited,,"Etna di grande finezza, il Pinot Nero del Mediterraneo.","ciliegia, spezie, minerale, violetta"
94,Pigato Riviera Ligure DOC,Bruna,Italy,Liguria,Riviera Ligure di Ponente,Riviera Ligure di Ponente,2023,pigato,white,straw_yellow,medium,low,medium,3.8,3.9,3.7,13.0,secco,pesce|pesto|focaccia,lunch;summer,fresco;sapido;mediterraneo,16.00,13.00,limited,,"Bianco ligure sapido e profumato, perfetto con pesto e pesce.","agrumi, fiori, minerale, pepe"
95,Pecorino Offida DOCG,Oasi degli Angeli,Italy,Marche,Offida,Offida,2023,pecorino,white,straw_yellow,medium,low,high,4.0,4.0,3.9,13.5,secco,pesce|crostacei|antipasti,dinner,fresco;minerale;sapido;intenso,18.00,14.00,limited,,Bianco marchigiano di grande personalità e sapidità.,"agrumi, fiori, minerale, frutta_bianca"
96,Lambrusco di Sorbara DOC,Cleto Chiarli,Italy,Emilia-Romagna,Sorbara,Lambrusco di Sorbara,2023,lambrusco di sorbara,red,light_ruby,low,low,high,3.6,3.7,3.4,11.0,secco,salumi|gnocco_fritto|tortellini,everyday;aperitif,frizzante;fresco;leggero;fruttato,10.00,7.00,common,,"Lambrusco secco e fresco, perfetto con la cucina emiliana.","fragola, lampone, fiori, minerale"
97,Sangiovese di Romagna DOC Superiore,Tre Monti,Italy,Emilia-Romagna,Romagna,Sangiovese di Romagna,2022,sangiovese,red,ruby_red,medium,medium,medium,3.5,3.6,3.4,13.0,secco,pasta_ragu|piadina|carne_rossa,everyday,fruttato;equilibrato;beverino,10.00,8.00,common,,Sangiovese romagnolo fruttato e quotidiano.,"ciliegia, viola, spezie, cuoio"
98,Priorat DOCa,Alvaro Palacios,Spain,Catalunya,Priorat,Priorat,2020,garnacha;carinena,red,deep_ruby,high,medium_plus,medium,4.6,4.5,4.6,14.5,secco,carne_rossa|selvaggina|formaggi_stagionati,important_dinner,potente;complesso;minerale;longevo,55.00,45.00,limited,,"Grande rosso catalano di potenza e complessità, da terroir unico.","frutta_nera, spezie, minerale, tostato"
99,Albariño Rias Baixas DO,Pazo de Señorans,Spain,Galicia,Rias Baixas,Rias Baixas,2023,albarino,white,straw_yellow,medium,low,high,4.1,4.2,4.0,12.5,secco,pesce|crostacei|sushi,dinner;summer,fresco;minerale;salino;atlantico,18.00,14.00,common,,"Bianco galiziano salino e fresco, ideale con frutti di mare.","agrumi, fiori, frutta_bianca, minerale"
100,Douro DOC Tinto,Niepoort,Portugal,Douro,Douro,Douro,2021,touriga nacional;touriga franca;tinta roriz,red,deep_ruby,high,medium_plus,medium,4.3,4.2,4.3,14.0,secco,carne_rossa|selvaggina|formaggi_stagionati,dinner;important_dinner,potente;complesso;fruttato;speziato,25.00,20.00,common,,"Rosso portoghese dal Douro, potente e complesso con tannini fini.","frutta_nera, spezie, violetta, cuoio"
101,Marlborough Sauvignon Blanc,Cloudy Bay,New Zealand,Marlborough,Marlborough,Marlborough,2023,sauvignon blanc,white,straw_yellow,medium,low,high,4.0,4.1,3.9,13.0,secco,pesce|sushi|insalata,summer;aperitif,fresco;aromatico;tropicale;erbaceo,20.00,16.00,common,,"Sauvignon iconico del Nuovo Mondo, esplosivo di frutto e freschezza.","agrumi, fiori, minerale"
102,Torrette DOC,Les Cretes,Italy,Valle d'Aosta,Aosta,Torrette,2022,petit rouge,red,ruby_red,medium,medium_low,medium,3.6,3.7,3.5,12.0,secco,salumi|fontina|polenta,everyday,leggero;fruttato;alpino,14.00,11.00,limited,,Rosso valdostano leggero e fruttato da vitigno autoctono.,"ciliegia, spezie, violetta, minerale"
103,Orvieto Classico DOC Superiore,Barberani,Italy,Umbria,Orvieto,Orvieto Classico,2023,grechetto;procanico,white,straw_yellow,medium,low,medium,3.7,3.8,3.6,13.0,secco,pesce|verdure|antipasti,lunch;everyday,fresco;sapido;delicato,12.00,9.00,common,,"Bianco umbro classico, fresco e versatile.","agrumi, fiori, minerale, frutta_bianca"
104,Cirò Rosso DOC Classico Superiore,Librandi,Italy,Calabria,Cirò,Cirò,2021,gaglioppo,red,ruby_red,medium,medium,medium,3.7,3.8,3.6,13.5,secco,carne_rossa|pasta_ragu|formaggi,dinner;everyday,tradizionale;speziato;mediterraneo,14.00,11.00,common,,Rosso calabrese storico da vitigno autoctono gaglioppo.,"frutta_nera, spezie, cuoio, balsamico"
105,Vin Santo del Chianti DOC,Isole e Olena,Italy,Toscana,Chianti,Vin Santo del Chianti,2016,trebbiano;malvasia,white,amber,high,low,medium,4.3,4.4,4.5,15.0,dolce,dolci|cantucci|formaggi_erborinati,dessert;meditation,dolce;complesso;longevo;mielato,40.00,32.00,limited,,Vin Santo toscano di grande complessità con note di miele e frutta secca.,"albicocca, tostato, vaniglia, balsamico"
106,Moscato di Scanzo DOCG,La Brugherata,Italy,Lombardia,Scanzorosciate,Moscato di Scanzo,2019,moscato di scanzo,red,deep_ruby,medium,medium_low,medium,4.2,4.3,4.4,14.0,dolce,dolci|cioccolato|formaggi_erborinati,dessert;meditation,dolce;raro;aromatico;complesso,50.00,40.00,rare,,"Rarissimo passito rosso lombardo, intensamente aromatico.","fiori, frutta_rossa, miele, spezie"
107,Recioto della Valpolicella DOCG,Giuseppe Quintarelli,Italy,Veneto,Valpolicella,Recioto della Valpolicella,2017,corvina;corvinone;rondinella,red,deep_ruby,high,medium,medium,4.5,4.4,4.6,14.0,dolce,dolci|cioccolato|formaggi_erborinati,dessert;meditation,dolce;complesso;longevo;iconico,85.00,70.00,rare,,"Grande vino dolce veneto da uve appassite, complessità monumentale.","frutta_nera, ciliegia, vaniglia, balsamico"
108,Montepulciano d'Abruzzo DOC Riserva,Emidio Pepe,Italy,Abruzzo,Abruzzo,Montepulciano d'Abruzzo,2018,montepulciano,red,deep_ruby,high,medium_plus,medium,4.5,4.4,4.5,14.0,secco,carne_rossa_umido|selvaggina|formaggi_stagionati,important_dinner,potente;longevo;tradizionale;austero,55.00,45.00,rare,,"Montepulciano d'autore, potente e longevo con metodi tradizionali.","frutta_nera, spezie, cuoio, balsamico"
